last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Mejía, J.C.,650496,16.1,42.2,,23.7,11.5,6.5,,,,
Kittredge, Andrew,552640,10.4,44.0,,45.2,0.4,,,,,
Strickland, Hunter,519326,51.3,5.8,,40.8,2.0,,,,,
Feyereisen, J.P.,656420,51.3,0.1,,28.9,19.8,,,,,
Bender, Anthony,669622,1.2,51.8,,46.2,0.7,,,,,
McHugh, Collin,543521,10.8,,33.2,,0.1,2.9,,,53.0,
Alvarez, Jose,501625,12.3,45.7,3.8,10.2,28.0,,,,,
Thompson, Keegan,624522,46.5,1.0,27.2,,2.3,23.0,,,,
Steele, Justin,657006,45.4,20.4,,16.5,2.1,15.6,,,,
Hader, Josh,623352,0.1,65.4,,27.8,6.7,,,,,
Adams, Austin,613534,12.9,,,87.1,,,,,,
Hill, Tim,657612,47.5,37.0,0.1,15.2,0.2,,,,,
Watkins, Spenser,657093,46.5,,31.0,,6.0,16.5,,,,
Bass, Anthony,542914,7.3,41.9,,49.9,,,0.8,,,
Pressly, Ryan,519151,39.5,0.2,,35.8,,24.5,,,,
Cessa, Luis,570666,21.1,10.2,,56.7,12.0,,,,,
Tepera, Ryan,572193,33.3,10.8,,44.9,10.4,0.5,,,,
Chafin, Andrew,605177,28.9,44.6,,26.4,0.1,,,,,
Sawamura, Hirokazu,617228,45.4,,,15.3,,,39.3,,,
Rodríguez, Richard,593144,86.1,,,13.9,,,,,,
García, Yimi,554340,39.3,6.3,,29.8,6.4,18.2,,,,
López, Reynaldo,625643,57.9,,,33.8,3.7,4.6,,,,
Bummer, Aaron,607481,,62.3,7.9,,0.6,,,,29.1,
Howard, Spencer,675921,63.0,0.6,13.6,5.4,9.0,8.3,,,,
Pop, Zach,647315,1.4,66.3,,32.3,,,,,,
Shreve, Chasen,592741,40.2,,,22.9,,,36.9,,,
Zimmer, Kyle,622092,50.4,0.3,,36.8,2.2,10.2,,,,
